Accession,Species,Length,Geo_Location,Host
NC_045512,Severe acute respiratory syndrome-related coronavirus,29903,China,Homo sapiens
MT598133,Severe acute respiratory syndrome-related coronavirus,726,Iran,Homo sapiens
MT598134,Severe acute respiratory syndrome-related coronavirus,881,Iran,Homo sapiens
MT598135,Severe acute respiratory syndrome-related coronavirus,881,Iran,Homo sapiens
MT598136,Severe acute respiratory syndrome-related coronavirus,881,Iran,Homo sapiens
MT598137,Severe acute respiratory syndrome-related coronavirus,774,Iran,Homo sapiens
MT598138,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598139,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598140,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598141,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598142,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598143,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598144,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598145,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598146,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598147,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598148,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598149,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598150,Severe acute respiratory syndrome-related coronavirus,888,Iran,Homo sapiens
MT598151,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598152,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598153,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598154,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598155,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598156,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598157,Severe acute respiratory syndrome-related coronavirus,883,Iran,Homo sapiens
MT598171,Severe acute respiratory syndrome-related coronavirus,29836,"USA: San Diego, California",Homo sapiens
MT598172,Severe acute respiratory syndrome-related coronavirus,29782,"USA: San Diego, California",Homo sapiens
MT598173,Severe acute respiratory syndrome-related coronavirus,29755,"USA: San Diego, California",Homo sapiens
MT598174,Severe acute respiratory syndrome-related coronavirus,29891,"USA: San Diego, California",Homo sapiens
