Source , Target , Score
MT520355.1 , MT412311.1 , 167990.0
MT520384.1 , MT412311.1 , 167986.0
MT412311.1 , MT412311.1 , 168188.0
MT451675.1 , MT412311.1 , 167955.0
MT536183.1 , MT412311.1 , 167628.0
MT446359.1 , MT412311.1 , 167623.0
MT263382.1 , MT412311.1 , 167667.0
MT499201.1 , MT412311.1 , 168135.0
MT412311.1 , MT446359.1 , 167623.0
MT520384.1 , MT446359.1 , 167588.0
MT520355.1 , MT446359.1 , 167559.0
MT446359.1 , MT446359.1 , 167703.0
MT536183.1 , MT446359.1 , 167674.0
MT263382.1 , MT446359.1 , 167233.0
MT451675.1 , MT446359.1 , 167620.0
MT499201.1 , MT446359.1 , 167592.0
MT412311.1 , MT451675.1 , 167955.0
MT520384.1 , MT451675.1 , 167968.0
MT520355.1 , MT451675.1 , 168033.0
MT446359.1 , MT451675.1 , 167620.0
MT536183.1 , MT451675.1 , 167625.0
MT263382.1 , MT451675.1 , 167500.0
MT499201.1 , MT451675.1 , 168071.0
MT451675.1 , MT451675.1 , 168113.0
MT412311.1 , MT263382.1 , 167667.0
MT520355.1 , MT263382.1 , 167613.0
MT520384.1 , MT263382.1 , 167494.0
MT536183.1 , MT263382.1 , 167238.0
MT446359.1 , MT263382.1 , 167233.0
MT263382.1 , MT263382.1 , 168383.0
MT499201.1 , MT263382.1 , 167763.0
MT451675.1 , MT263382.1 , 167500.0
MT412311.1 , MT520355.1 , 167990.0
MT499201.1 , MT520355.1 , 168204.0
MT520355.1 , MT520355.1 , 168251.0
MT520384.1 , MT520355.1 , 167985.0
MT446359.1 , MT520355.1 , 167559.0
MT536183.1 , MT520355.1 , 167564.0
MT263382.1 , MT520355.1 , 167613.0
MT451675.1 , MT520355.1 , 168033.0
MT412311.1 , MT499201.1 , 168135.0
MT499201.1 , MT499201.1 , 168387.0
MT520355.1 , MT499201.1 , 168204.0
MT446359.1 , MT499201.1 , 167592.0
MT520384.1 , MT499201.1 , 168018.0
MT536183.1 , MT499201.1 , 167597.0
MT263382.1 , MT499201.1 , 167763.0
MT451675.1 , MT499201.1 , 168071.0
MT412311.1 , MT520384.1 , 167986.0
MT499201.1 , MT520384.1 , 168018.0
MT446359.1 , MT520384.1 , 167588.0
MT520384.1 , MT520384.1 , 168069.0
MT520355.1 , MT520384.1 , 167985.0
MT536183.1 , MT520384.1 , 167593.0
MT451675.1 , MT520384.1 , 167968.0
MT263382.1 , MT520384.1 , 167494.0
MT520384.1 , MT536183.1 , 167593.0
MT412311.1 , MT536183.1 , 167628.0
MT446359.1 , MT536183.1 , 167674.0
MT520355.1 , MT536183.1 , 167564.0
MT536183.1 , MT536183.1 , 167704.0
MT499201.1 , MT536183.1 , 167597.0
MT451675.1 , MT536183.1 , 167625.0
MT263382.1 , MT536183.1 , 167238.0
MT520384.1 , MT345876.1 , 167937.0
MT412311.1 , MT345876.1 , 167969.0
MT446359.1 , MT345876.1 , 167590.0
MT536183.1 , MT345876.1 , 167595.0
MT520355.1 , MT345876.1 , 167906.0
MT499201.1 , MT345876.1 , 167939.0
MT451675.1 , MT345876.1 , 167913.0
MT263382.1 , MT345876.1 , 167458.0
MT520384.1 , MT350277.1 , 167986.0
MT412311.1 , MT350277.1 , 168019.0
MT446359.1 , MT350277.1 , 167560.0
MT520355.1 , MT350277.1 , 168172.0
MT536183.1 , MT350277.1 , 167565.0
MT499201.1 , MT350277.1 , 168260.0
MT451675.1 , MT350277.1 , 168039.0
MT263382.1 , MT350277.1 , 167699.0
MT520384.1 , MT252715.1 , 167527.0
MT412311.1 , MT252715.1 , 167688.0
MT446359.1 , MT252715.1 , 167338.0
MT520355.1 , MT252715.1 , 167530.0
MT499201.1 , MT252715.1 , 167647.0
MT536183.1 , MT252715.1 , 167343.0
MT451675.1 , MT252715.1 , 167501.0
MT263382.1 , MT252715.1 , 167352.0
MT446359.1 , MT459880.1 , 167629.0
MT520384.1 , MT459880.1 , 167919.0
MT412311.1 , MT459880.1 , 167916.0
MT520355.1 , MT459880.1 , 167890.0
MT536183.1 , MT459880.1 , 167634.0
MT499201.1 , MT459880.1 , 167923.0
MT451675.1 , MT459880.1 , 167951.0
MT263382.1 , MT459880.1 , 167410.0
MT520384.1 , MT270107.1 , 167695.0
MT446359.1 , MT270107.1 , 167608.0
MT412311.1 , MT270107.1 , 167716.0
